  She should ask a few native Americans what their take on this is. , CAG
   Go home you\u2019re drunk!!!    \U0001f44a\U0001f1fa\U0001f1f8\U0001f44a  , OAG
 Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace.       , NAG
"  Someone should'veTaken"" this piece of shit to a volcano. \U0001f602"" ", CAG
   Obama wanted liberals and; illegals to move into red states , NAG
  Liberals are all Kookoo !!! , OAG
   Oh noes! Tough shit. , CAG
  was literally just talking about this lol all mass shootings like that have been set ups. it\u2019s propaganda used to divide us on major issues like gun control and terrorism , OAG
  Buy more icecream!!! , NAG
  Canada doesn\u2019t need another CUCK! We already have enough   f**king up our great country!   , OAG
    It\u2019s not my fault you support gun control , NAG
  What\u2019s the difference between  and    One of these men admitted to groping a  year old girl years ago.  The other is going to be  to the SCJ             , NAG
  you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!!   , OAG
    It should scare every American!  She is playing Hockey with a warped puck! , NAG
                                                   I like my soda like I like my boarders with a lot of ICE. , NAG
  you are also the king of taste , NAG
    \U0001f3b6 Sing like no one is listening  \u2665\ufe0f Love like you've never been hurt  \u2714\ufe0f Vote GOP when no one is watching  \U0001f649  And don't listen to Liberals' dirt  , NAG
" /:  The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.\u201d   "" ", NAG
  Besides Jax\u2019s mom and maybe Ope he is hands down my favorite he\u2019s like the only good person on the show \U0001f602 , NAG
    gun control! That is all these kids are asking for! , OAG
     LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!             , OAG
   You are correct. , NAG
   Kind of like when conservatives wanna associate everyone to their left as communist antifa members? , OAG
   Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it \U0001f914 , OAG
  Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?  , NAG
  Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance.. , OAG
" South Korean Official: \u201cLeaders will discuss specific denuke measures in Pyongyang\u201d""     "" ", NAG
   You can tell he is a hooper too , NAG
  I feel like he is better chasing the title , NAG
    She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn\u2019t bash them.  She has a positive message.  So who is dividing the left? , CAG
  Glad to see your friends are supporting Metis rights as much as you are supporting Zionists.  , NAG
  Yes you are but I was asking what is it about the movie ?\U0001f937\u200d\u2642\ufe0f\U0001f440 , NAG
 The only thing the Democrats have is lying and stalling to stop Trump from being .  What have they done for you lately.     , OAG
  No wonder he is being apologetic and more social these day.... , NAG
    Any updates re ending your blatant  as  and;  proves you are         , NAG
            Do you know what\u2019s going to happen now?  I\u2019m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa. , NAG
                                                   You are not very smart are you? Why do you think Gen Flynn\u2019s sentencing keeps being rescheduled?  , OAG
    That's expected if you placate the violent leftists/terrorists.   , OAG
  Blow hard , NAG
    That means you are a max lvl. Twitter user and maybe should try a new game , NAG
"   Please explain what controlled opposition"" means.  As for Bernier escaping he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."" ", NAG
      Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem. , NAG
 . Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT. , NAG
 .      PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.     matters.      , NAG
"   Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"" ", NAG
  Kathy the Patriot\U0001f5fd  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE and; EVERYTHING FOR AMERICANS!!     and;        and;      \U0001f600 \U0001f5fd\U0001f5fd\U0001f5fd \U0001f600 , NAG
  Wow you liberals really don\u2019t have a sense of humor.\U0001f644 , NAG
  I'M SO FUCKING READY , NAG
  Holy moly!! If the catholic people haven't been awakened by this .....    , NAG
